id,classification,base,axis,k,pair
car_subject_k2,F,car,subject,2,00
car_subject_k5,D,car,subject,5,00
car_subject_k7,D,car,subject,7,00
car_subject_k10,D,car,subject,10,00
car_setting_k2,F,car,setting,2,01
car_setting_k5,P,car,setting,5,01
car_setting_k7,D,car,setting,7,01
car_setting_k10,D,car,setting,10,01
car_color_k2,F,car,color,2,02
car_color_k5,F,car,color,5,02
car_color_k7,P,car,color,7,02
car_color_k10,D,car,color,10,02
car_motion_k2,P,car,motion,2,03
car_motion_k5,D,car,motion,5,03
car_motion_k7,D,car,motion,7,03
car_motion_k10,D,car,motion,10,03
car_texture_k2,F,car,texture,2,04
car_texture_k5,D,car,texture,5,04
car_texture_k7,D,car,texture,7,04
car_texture_k10,D,car,texture,10,04
car_style_k2,P,car,style,2,05
car_style_k5,P,car,style,5,05
car_style_k7,P,car,style,7,05
car_style_k10,P,car,style,10,05
car_time_of_day_k2,P,car,time_of_day,2,06
car_time_of_day_k5,D,car,time_of_day,5,06
car_time_of_day_k7,D,car,time_of_day,7,06
car_time_of_day_k10,D,car,time_of_day,10,06
dancer_subject_k2,F,dancer,subject,2,00
dancer_subject_k5,F,dancer,subject,5,00
dancer_subject_k7,F,dancer,subject,7,00
dancer_subject_k10,F,dancer,subject,10,00
dancer_setting_k2,P,dancer,setting,2,01
dancer_setting_k5,P,dancer,setting,5,01
dancer_setting_k7,D,dancer,setting,7,01
dancer_setting_k10,P,dancer,setting,10,01
dancer_color_k2,F,dancer,color,2,02
dancer_color_k5,F,dancer,color,5,02
dancer_color_k7,P,dancer,color,7,02
dancer_color_k10,P,dancer,color,10,02
dancer_motion_k2,F,dancer,motion,2,03
dancer_motion_k5,F,dancer,motion,5,03
dancer_motion_k7,P,dancer,motion,7,03
dancer_motion_k10,P,dancer,motion,10,03
dancer_texture_k2,F,dancer,texture,2,04
dancer_texture_k5,P,dancer,texture,5,04
dancer_texture_k7,P,dancer,texture,7,04
dancer_texture_k10,D,dancer,texture,10,04
dancer_style_k2,P,dancer,style,2,05
dancer_style_k5,P,dancer,style,5,05
dancer_style_k7,P,dancer,style,7,05
dancer_style_k10,P,dancer,style,10,05
dancer_time_of_day_k2,P,dancer,time_of_day,2,06
dancer_time_of_day_k5,P,dancer,time_of_day,5,06
dancer_time_of_day_k7,P,dancer,time_of_day,7,06
dancer_time_of_day_k10,P,dancer,time_of_day,10,06
dog_subject_k2,F,dog,subject,2,00
dog_subject_k5,F,dog,subject,5,00
dog_subject_k7,P,dog,subject,7,00
dog_subject_k10,P,dog,subject,10,00
dog_setting_k2,F,dog,setting,2,01
dog_setting_k5,P,dog,setting,5,01
dog_setting_k7,P,dog,setting,7,01
dog_setting_k10,D,dog,setting,10,01
dog_color_k2,F,dog,color,2,02
dog_color_k5,F,dog,color,5,02
dog_color_k7,F,dog,color,7,02
dog_color_k10,F,dog,color,10,02
dog_motion_k2,P,dog,motion,2,03
dog_motion_k5,F,dog,motion,5,03
dog_motion_k7,F,dog,motion,7,03
dog_motion_k10,P,dog,motion,10,03
dog_texture_k2,P,dog,texture,2,04
dog_texture_k5,P,dog,texture,5,04
dog_texture_k7,P,dog,texture,7,04
dog_texture_k10,P,dog,texture,10,04
dog_style_k2,P,dog,style,2,05
dog_style_k5,P,dog,style,5,05
dog_style_k7,P,dog,style,7,05
dog_style_k10,P,dog,style,10,05
dog_time_of_day_k2,P,dog,time_of_day,2,06
dog_time_of_day_k5,D,dog,time_of_day,5,06
dog_time_of_day_k7,D,dog,time_of_day,7,06
dog_time_of_day_k10,D,dog,time_of_day,10,06
